mesurement id;Destination;mean(max RTT) from mPlane;mean(max RTT) from FranceIX;mean(max RTT) from LISP-Lab;variance from mPlane;variance from FranceIX;variance from LISP-Lab;Country;Continent
5277643;2620:106:e003:f00e::63;157.4565706676558;136.29422431157269;170.68356451038576;120.17611864002188;163.38871873288801;41.859639726403842;US;NA
5277670;2400:cb00:2048:1::6810:a632;2.5135416220238094;1.8792773809523808;9.8367521130952387;4.2737363742374734;75.975263985978657;8.4626360513255943;HK;AS
5277519;2a00:1450:4007:805::2009;12.849893074626866;1.5325903164179107;20.358937656716417;51.882590089705765;0.22451267383006107;17.842390196012499;IE;EU
5277515;2a00:1450:4007:805::2003;12.651300163690475;1.8674472678571428;19.698478630952383;14.557393066363288;5.0352676240747209;8.3223182185192552;IE;EU
5277523;2a02:26f0:b2:198::d80;21.488918798219586;22.925379557863501;38.812349821958456;18.651370699048179;208.64543664010824;66.365989521342982;;EU
5277583;2a00:1450:4007:805::2003;12.648871796407185;1.7068137754491017;20.844216781437126;33.031855351537189;1.5706073642386948;52.356171149699144;IE;EU
5277553;2a00:1450:4007:805::2003;12.56842697329377;2.1643768189910979;20.67957421364985;34.231030140733722;101.89424723785943;34.141200583438476;IE;EU
5277601;2a00:1450:4007:808::2009;12.528899156804735;2.1545344023668638;22.32711902366864;6.8778518272517308;3.3056962341872764;109.41924158546648;IE;EU
5277724;2400:cb00:2048:1::6814:3338;2.3217932248520712;1.4425412958579882;10.743507736686391;2.9797831498927065;0.10431477915184739;20.138969664306785;HK;AS
5277718;2a02:6b8::50;59.294329332344219;58.185819916913943;67.488999703264099;50.069287566725293;82.24195155873781;228.14443007315484;RU;EU
5277692;2a01:e0c:1::1;2.4201700748502994;3.1899139341317362;23.259903113772459;2.6126174080334525;127.67776841602196;126.43110883271603;FR;EU
5277525;2a00:1450:4007:805::2003;12.500735697329375;1.4736226172106826;20.098501172106825;22.7717351361349;0.18068377263211755;45.438095532004198;IE;EU
5277613;2a00:1450:4007:805::2003;12.972318887240354;1.5290267151335313;20.783425207715137;44.664621412625976;0.12497159349296334;69.734362361595217;IE;EU
5277625;2003:2:4:164:217:6:164:162;21.40821729970326;14.615219293768549;19.277587181008901;124.84868097739199;66.387351944444831;103.75418247702557;DE;EU
5277561;2a00:1450:4007:805::2003;12.576899198813056;1.5647251216617215;20.115551899109789;31.680026989434378;0.46007404960661724;33.916494179381992;IE;EU
5277543;2a00:1450:4007:805::2003;12.397269213649851;1.5628350682492582;19.866509198813056;4.88889123386177;0.093313278030473082;10.017412901728438;IE;EU
5277531;2a00:1450:4007:806::2009;12.333393446745562;1.7366342218934909;20.820656804733726;9.460370217860973;1.9140255718495096;73.046778969839494;IE;EU
5277611;2400:cb00:2048:1::6810:35a2;2.2336716272189348;1.4706718195266271;10.624530931952663;0.68897661901584351;1.6392557571063726;24.114896644157785;HK;AS
5277509;2a00:1148:db00:0:b0b0::1;51.059500029585799;50.570939562130185;61.384815088757399;105.19228179198595;104.7647129324413;2122.5218870620192;RU;EU
5277579;2a00:1450:4007:805::200e;13.012554319526629;1.7935939556213016;20.300145369822488;113.50490085027556;0.92851532300772888;43.647219383822573;IE;EU
5277627;2a00:1450:4007:805::2003;12.8608762462908;1.5810994985163207;21.024394228486646;45.152857334325759;0.51062682622274869;62.868740081590943;IE;EU
5277571;2a00:1450:4007:805::2003;12.356756101190475;4.0016828482142852;20.266260148809522;2.8012791970888165;983.85825599381997;34.185969805449076;IE;EU
5277617;2a00:1450:4007:805::2003;12.654216005917158;1.5912393934911244;21.279902278106508;25.638526492911112;0.53452695684464102;118.4215540043765;IE;EU
5277716;2a00:1450:4007:80c::2009;12.369369909638555;1.6228252740963853;21.833054186746992;4.1268226525905041;0.69788626045044588;189.51223007227739;IE;EU
5277655;2a00:1450:4007:805::2003;12.86017976190476;1.5909241964285714;21.725248779761905;48.877183296994602;0.83697717167659258;219.19481342691731;IE;EU
5277513;2a00:1450:4007:805::2003;12.972036711309524;2.4070088363095237;19.986664806547619;60.459584069072271;241.06057284740564;14.316630140812535;IE;EU
5277493;2a00:1450:4007:805::2003;12.861542240356082;1.5671705014836796;22.518799777448073;53.894833203186138;0.27270295822446361;578.98451292075742;IE;EU
5277688;2a00:1450:4007:805::2003;12.747469540059349;1.5994323590504453;20.887958813056382;32.004236429263969;0.41937845771996307;75.064325819326484;IE;EU
