measurement_id;destination;common_hops_num;FranceIX_hops_num;LISP-Lab_hops_num;FranceIX_country_path;LISP-Lab_country_path;Country;Continent
6964161;92.122.19.40;1;4;5;['FR', 'FR', None, 'GB'];['FR', 'FR', 'DE', 'GB', None];GB;EU
6963902;104.25.24.99;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963576;216.58.208.195;1;4;4;['FR', 'FR', None, 'US'];['FR', 'FR', 'IT', 'US'];US;NA
6964390;173.241.154.10;2;4;5;['FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'US', 'US'];US;NA
6964187;104.25.28.101;1;4;4;['FR', 'FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6964317;138.101.8.100;3;5;6;['FR', 'FR', 'US', 'JP', 'JP'];['FR', 'FR', 'DE', 'US', 'JP', 'JP'];JP;AS
6963632;106.120.160.134;2;4;6;['FR', 'US', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN'];CN;AS
6963795;69.252.80.75;1;4;5;['FR', 'FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6963752;64.210.135.134;2;3;6;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', None, 'US'];US;NA
6964025;148.251.77.209;1;3;4;['FR', 'FR', 'DE'];['FR', 'FR', 'DE', 'DE'];DE;EU
6964416;209.104.56.26;2;5;6;['FR', 'FR', None, 'US', 'US'];['FR', 'FR', 'DE', 'GB', 'US', 'US'];US;NA
6964303;81.17.22.114;2;3;5;['FR', 'GB', 'CH'];['FR', 'FR', 'DE', 'GB', 'PA'];CH;EU
6964327;91.195.49.131;1;4;4;['FR', 'FR', 'FR', 'NL'];['FR', 'FR', 'DE', 'NL'];DE;EU
6964143;193.51.224.8;1;2;3;['FR', 'FR'];['FR', 'FR', 'FR'];FR;EU
6963781;23.200.86.143;2;3;5;['FR', 'FR', 'FR'];['FR', 'FR', 'FR', 'FR', 'FR'];FR;EU
6964159;5.134.209.108;1;3;5;['FR', None, 'PL'];['FR', 'FR', 'DE', 'PL', 'PL'];PL;EU
6963618;104.156.81.194;1;3;5;['FR', None, 'US'];['FR', 'FR', 'DE', 'GB', 'US'];US;NA
6964057;80.168.92.141;1;3;4;['FR', 'FR', 'FR'];['FR', 'FR', 'DE', 'DE'];GB;EU
6964440;104.16.4.13;1;3;4;['FR', 'NL', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963512;180.149.131.31;2;4;6;['FR', 'US', 'CN', 'CN'];['FR', 'FR', 'DE', 'GB', 'CN', 'CN'];CN;AS
6963538;192.0.78.17;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
6963472;172.217.16.68;1;4;4;['FR', 'FR', None, 'US'];['FR', 'FR', 'IT', 'US'];US;NA
6963971;148.251.23.152;1;3;4;['FR', 'FR', 'DE'];['FR', 'FR', 'DE', 'DE'];DE;EU
6963819;104.24.3.15;1;3;4;['FR', 'FR', 'US'];['FR', 'FR', 'DE', 'US'];US;NA
